,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_learning_rate_init,param_solver,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
7,1.3050681352615356,0.06856405735015869,0.0130997896194458,0.0006049871444702148,relu,0.01,adam,"{'activation': 'relu', 'learning_rate_init': 0.01, 'solver': 'adam'}",0.936,0.932,0.934,0.0020000000000000018,1
6,0.7075786590576172,0.08352184295654297,0.01627826690673828,0.002649068832397461,relu,0.01,lbfgs,"{'activation': 'relu', 'learning_rate_init': 0.01, 'solver': 'lbfgs'}",0.9302,0.9214,0.9258,0.004400000000000015,2
9,2.6713414192199707,0.19670987129211426,0.0214080810546875,0.0008482933044433594,relu,0.1,adam,"{'activation': 'relu', 'learning_rate_init': 0.1, 'solver': 'adam'}",0.929,0.9192,0.9241,0.0049000000000000155,3
10,0.811322808265686,0.08597862720489502,0.012941837310791016,0.0006692409515380859,relu,1.0,lbfgs,"{'activation': 'relu', 'learning_rate_init': 1, 'solver': 'lbfgs'}",0.9256,0.9218,0.9237,0.0019000000000000128,4
8,0.6592593193054199,0.010526418685913086,0.014301061630249023,0.0007016658782958984,relu,0.1,lbfgs,"{'activation': 'relu', 'learning_rate_init': 0.1, 'solver': 'lbfgs'}",0.925,0.9214,0.9232,0.0018000000000000238,5
1,1.6559507846832275,0.09055233001708984,0.01904428005218506,0.000506281852722168,tanh,0.01,adam,"{'activation': 'tanh', 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9186,0.9168,0.9177,0.0009000000000000119,6
11,1.0266402959823608,0.04121053218841553,0.01592099666595459,0.0013211965560913086,relu,1.0,adam,"{'activation': 'relu', 'learning_rate_init': 1, 'solver': 'adam'}",0.9162,0.9164,0.9163,9.999999999998899e-05,7
4,0.5718629360198975,0.005486726760864258,0.02371358871459961,0.005428314208984375,tanh,1.0,lbfgs,"{'activation': 'tanh', 'learning_rate_init': 1, 'solver': 'lbfgs'}",0.9166,0.9084,0.9125,0.0040999999999999925,8
0,0.5682703256607056,0.01838052272796631,0.019042372703552246,3.6597251892089844e-05,tanh,0.01,lbfgs,"{'activation': 'tanh', 'learning_rate_init': 0.01, 'solver': 'lbfgs'}",0.918,0.9064,0.9122,0.005800000000000027,9
2,0.577337384223938,0.04201376438140869,0.01946258544921875,0.0010120868682861328,tanh,0.1,lbfgs,"{'activation': 'tanh', 'learning_rate_init': 0.1, 'solver': 'lbfgs'}",0.9156,0.9022,0.9089,0.006699999999999984,10
3,0.8618062734603882,0.06251966953277588,0.01790440082550049,0.0002733469009399414,tanh,0.1,adam,"{'activation': 'tanh', 'learning_rate_init': 0.1, 'solver': 'adam'}",0.8654,0.8564,0.8609,0.0044999999999999485,11
5,0.8426079750061035,0.0029397010803222656,0.020266175270080566,0.0026978254318237305,tanh,1.0,adam,"{'activation': 'tanh', 'learning_rate_init': 1, 'solver': 'adam'}",0.7904,0.7742,0.7823,0.008099999999999996,12
